name,handedness,height,weight,avg,HR,BMI,BMI_Range
Denny Lemaster,Right Handed,73,182,0.13,4,24,Normal
Joe Nolan,Left Handed,71,175,0.263,27,24,Normal
Denny Doyle,Left Handed,69,175,0.25,16,26,Overweight
Jose Cardenal,Right Handed,70,150,0.275,138,22,Normal
Mike Ryan,Right Handed,74,205,0.193,28,26,Overweight
Fritz Peterson,Both Handed,72,185,0.159,2,25,Overweight
Dick Bertell,Right Handed,72,200,0.25,10,27,Overweight
Rod Kanehl,Right Handed,73,180,0.241,6,24,Normal
Juan Bonilla,Right Handed,69,170,0.256,7,25,Overweight
Frank Tepedino,Left Handed,71,185,0.241,6,26,Overweight
Rick Wise,Right Handed,73,180,0.195,15,24,Normal
Darrell Evans,Left Handed,74,200,0.248,414,26,Overweight
Buck Martinez,Right Handed,70,190,0.225,58,27,Overweight
John Wockenfuss,Right Handed,72,190,0.262,86,26,Overweight
Tommy McCraw,Left Handed,72,183,0.246,75,25,Overweight
Lee Lacy,Right Handed,73,175,0.286,91,23,Normal
Pete Rose,Both Handed,71,192,0.303,160,27,Overweight
Danny Walton,Right Handed,72,195,0.223,28,26,Overweight
Bobby Cox,Right Handed,71,180,0.225,9,25,Overweight
Brad Wellman,Right Handed,72,170,0.231,6,23,Normal
Jeff Newman,Right Handed,74,215,0.224,63,28,Overweight
Pedro Gonzalez,Right Handed,72,176,0.244,8,24,Normal
Tommie Reynolds,Right Handed,74,190,0.226,12,24,Normal
Gene Clines,Right Handed,69,170,0.277,5,25,Overweight
Jim Hickman,Right Handed,75,192,0.252,159,24,Normal
Jack Billingham,Right Handed,76,195,0.111,0,24,Normal
Jerry Buchek,Right Handed,71,185,0.22,22,26,Overweight
Ivan DeJesus,Right Handed,71,175,0.254,21,24,Normal
Gary Nolan,Right Handed,74,197,0.138,1,25,Overweight
Fred Whitfield,Left Handed,73,190,0.253,108,25,Overweight
Larry Dierker,Right Handed,76,215,0.136,4,26,Overweight
Dave Skaggs,Right Handed,74,200,0.241,3,26,Overweight
Dick Ruthven,Right Handed,75,190,0.183,1,24,Normal
Dave Kingman,Right Handed,78,210,0.236,442,24,Normal
Eric Soderholm,Right Handed,71,187,0.264,102,26,Overweight
Ed Brinkman,Right Handed,72,170,0.224,60,23,Normal
Wayne Garrett,Left Handed,71,175,0.239,61,24,Normal
Tony Muser,Left Handed,74,180,0.259,7,23,Normal
Ted Ford,Right Handed,70,180,0.219,17,26,Overweight
Jim Lyttle,Left Handed,72,180,0.248,9,24,Normal
Scot Thompson,Left Handed,75,195,0.262,5,24,Normal
Gene Locklear,Left Handed,70,165,0.274,9,24,Normal
Bo Diaz,Right Handed,71,185,0.255,87,26,Overweight
Bump Wills,Both Handed,69,172,0.266,36,25,Overweight
Pat Putnam,Left Handed,72,205,0.255,63,28,Overweight
Kurt Bevacqua,Right Handed,72,180,0.236,27,24,Normal
Syd O'Brien,Right Handed,73,185,0.23,24,24,Normal
Chris Chambliss,Left Handed,73,195,0.279,185,26,Overweight
Tom Satriano,Left Handed,73,185,0.225,21,24,Normal
Jeffrey Leonard,Right Handed,74,200,0.266,144,26,Overweight
Dal Maxvill,Right Handed,71,157,0.217,6,22,Normal
Cesar Tovar,Right Handed,69,155,0.278,46,23,Normal
Mickey Lolich,Both Handed,73,170,0.11,0,22,Normal
Jack Heidemann,Right Handed,72,175,0.211,9,24,Normal
Rich Rollins,Right Handed,70,185,0.269,77,27,Overweight
Walt Bond,Left Handed,79,228,0.256,41,26,Overweight
Merv Rettenmund,Right Handed,70,190,0.271,66,27,Overweight
Byron Browne,Right Handed,74,190,0.236,30,24,Normal
Hector Torres,Right Handed,72,175,0.216,18,24,Normal
Walt Williams,Right Handed,66,165,0.27,33,27,Overweight
Jerry Koosman,Right Handed,74,205,0.119,2,26,Overweight
Steve Lombardozzi,Right Handed,72,175,0.233,20,24,Normal
Joe Azcue,Right Handed,72,190,0.252,50,26,Overweight
Elliott Maddox,Right Handed,71,180,0.261,18,25,Overweight
Omar Moreno,Left Handed,74,180,0.252,37,23,Normal
Julian Javier,Right Handed,73,175,0.257,78,23,Normal
Elio Chacon,Right Handed,69,160,0.232,4,24,Normal
Rusty Torres,Both Handed,70,175,0.212,35,25,Overweight
John Stearns,Right Handed,72,185,0.26,46,25,Overweight
Larry Brown,Right Handed,70,160,0.233,47,23,Normal
Tommy Dean,Right Handed,72,165,0.18,4,22,Normal
Marty Martinez,Both Handed,72,170,0.243,0,23,Normal
Bruce Boisclair,Left Handed,74,185,0.263,10,24,Normal
Ken Singleton,Both Handed,76,210,0.282,246,26,Overweight
Frank White,Right Handed,71,165,0.255,160,23,Normal
Jim Fairey,Left Handed,70,190,0.235,7,27,Overweight
Tom Brookens,Right Handed,70,165,0.246,71,24,Normal
Gary Thomasson,Left Handed,73,180,0.249,61,24,Normal
Otto Velez,Right Handed,72,170,0.251,78,23,Normal
Tony Scott,Both Handed,72,164,0.249,17,22,Normal
Ray Oyler,Right Handed,71,165,0.175,15,23,Normal
Floyd Robinson,Left Handed,69,175,0.283,67,26,Overweight
Steve Jeltz,Both Handed,71,180,0.21,5,25,Overweight
Lou Brock,Left Handed,71,170,0.293,149,24,Normal
Joe Lovitto,Both Handed,72,185,0.216,4,25,Overweight
Wayne Comer,Right Handed,70,175,0.229,16,25,Overweight
Dave Collins,Both Handed,71,175,0.272,32,24,Normal
Ed Spiezio,Right Handed,71,180,0.238,39,25,Overweight
Rico Petrocelli,Right Handed,72,175,0.251,210,24,Normal
Johnny Lewis,Left Handed,73,189,0.227,22,25,Overweight
Dick Simpson,Right Handed,76,176,0.207,15,21,Normal
Ken Boswell,Left Handed,72,170,0.248,31,23,Normal
Ken McMullen,Right Handed,75,190,0.248,156,24,Normal
Steve Swisher,Right Handed,74,205,0.216,20,26,Overweight
Dick Howser,Right Handed,68,155,0.248,16,24,Normal
Manny Castillo,Both Handed,69,160,0.242,3,24,Normal
Mike Ramsey,Both Handed,73,170,0.24,2,22,Normal
Willie Crawford,Left Handed,73,197,0.268,86,26,Overweight
Willie Norwood,Right Handed,72,185,0.242,18,25,Overweight
Jeff Stone,Left Handed,72,175,0.277,11,24,Normal
Joe Lahoud,Left Handed,73,198,0.223,65,26,Overweight
Tim Flannery,Left Handed,71,175,0.255,9,24,Normal
Dave McKay,Both Handed,73,195,0.229,21,26,Overweight
Benny Ayala,Right Handed,73,185,0.251,38,24,Normal
Greg Gross,Left Handed,70,160,0.287,7,23,Normal
Sal Butera,Right Handed,72,190,0.227,8,26,Overweight
Jack Brohamer,Left Handed,70,165,0.245,30,24,Normal
Von Joshua,Left Handed,70,170,0.273,30,24,Normal
Eddie Milner,Left Handed,71,173,0.253,42,24,Normal
Johnny Jeter,Right Handed,73,180,0.244,18,24,Normal
Angel Salazar,Right Handed,72,180,0.212,2,24,Normal
Tony Oliva,Left Handed,73,175,0.304,220,23,Normal
Cito Gaston,Right Handed,75,190,0.256,91,24,Normal
Cookie Rojas,Right Handed,70,160,0.263,54,23,Normal
Rich Morales,Right Handed,71,170,0.195,6,24,Normal
Dan Ford,Right Handed,73,185,0.27,121,24,Normal
Darryl Motley,Right Handed,69,196,0.243,44,29,Overweight
Ozzie Virgil,Right Handed,73,180,0.243,98,24,Normal
Johnny Oates,Left Handed,71,188,0.25,14,26,Overweight
Mike Phillips,Left Handed,72,170,0.24,11,23,Normal
Ron Santo,Right Handed,72,190,0.277,342,26,Overweight
Jay Johnstone,Left Handed,73,175,0.267,102,23,Normal
Jim Ray Hart,Right Handed,71,185,0.278,170,26,Overweight
Marc Hill,Right Handed,75,205,0.223,34,26,Overweight
Chico Salmon,Right Handed,70,160,0.249,31,23,Normal
Joe Niekro,Right Handed,73,185,0.156,1,24,Normal
Andy Etchebarren,Right Handed,73,190,0.235,49,25,Overweight
Ken Berry,Right Handed,72,175,0.255,58,24,Normal
Dave Concepcion,Right Handed,74,155,0.267,101,20,Normal
Junior Moore,Right Handed,71,185,0.264,7,26,Overweight
Mike Richardt,Right Handed,72,170,0.226,4,23,Normal
Chris Brown,Right Handed,72,185,0.269,38,25,Overweight
Al Bumbry,Left Handed,68,170,0.281,54,26,Overweight
Al Downing,Right Handed,71,175,0.127,2,24,Normal
Bob Didier,Both Handed,72,190,0.229,0,26,Overweight
Jake Gibbs,Left Handed,72,180,0.233,25,24,Normal
Garry Hancock,Left Handed,72,175,0.247,12,24,Normal
Ed Kranepool,Left Handed,75,205,0.261,118,26,Overweight
Rick Rhoden,Right Handed,75,195,0.238,9,24,Normal
Denny McLain,Right Handed,73,185,0.133,1,24,Normal
Chuck Hiller,Left Handed,71,170,0.243,20,24,Normal
Jorge Orta,Left Handed,70,170,0.278,130,24,Normal
Dave Cash,Right Handed,71,170,0.283,21,24,Normal
Bucky Dent,Right Handed,69,170,0.247,40,25,Overweight
Tony Gonzalez,Left Handed,69,170,0.286,103,25,Overweight
Larry Haney,Right Handed,74,195,0.215,12,25,Overweight
Billy Conigliaro,Right Handed,72,180,0.256,40,24,Normal
Gary Roenicke,Right Handed,75,205,0.247,121,26,Overweight
Don Lock,Right Handed,74,195,0.238,122,25,Overweight
Billy Cowan,Right Handed,72,170,0.236,40,23,Normal
Billy Smith,Both Handed,74,185,0.23,17,24,Normal
Tony Perez,Right Handed,74,175,0.279,379,22,Normal
Chuck Schilling,Right Handed,70,160,0.239,23,23,Normal
Hal McRae,Right Handed,71,180,0.29,191,25,Overweight
Dave Roberts,Right Handed,75,215,0.239,49,27,Overweight
Jim Lefebvre,Both Handed,72,180,0.251,74,24,Normal
Charlie Spikes,Right Handed,75,215,0.246,65,27,Overweight
Steve Whitaker,Left Handed,72,180,0.23,24,24,Normal
Manny Jimenez,Left Handed,73,185,0.272,26,24,Normal
Duffy Dyer,Right Handed,72,187,0.221,30,25,Overweight
Ken Henderson,Both Handed,74,180,0.257,122,23,Normal
Vern Fuller,Right Handed,73,170,0.232,14,22,Normal
Wayne Gross,Left Handed,74,210,0.233,121,27,Overweight
Mike Champion,Right Handed,72,185,0.229,2,25,Overweight
Paul Casanova,Right Handed,76,180,0.225,50,22,Normal
Steve Rogers,Right Handed,74,175,0.138,0,22,Normal
Terry Crowley,Left Handed,72,180,0.25,42,24,Normal
Horace Clarke,Both Handed,69,170,0.256,27,25,Overweight
Lou Clinton,Right Handed,73,185,0.247,65,24,Normal
Larry Cox,Right Handed,70,178,0.221,12,26,Overweight
Nate Colbert,Right Handed,74,190,0.243,173,24,Normal
Phil Roof,Right Handed,74,190,0.215,43,24,Normal
Chuck Hinton,Right Handed,73,180,0.264,113,24,Normal
Tim Cullen,Right Handed,73,185,0.22,9,24,Normal
Tim Harkness,Left Handed,74,182,0.235,14,23,Normal
Rick Bosetti,Right Handed,71,185,0.25,17,26,Overweight
Ron Pruitt,Right Handed,72,185,0.269,12,25,Overweight
George Foster,Right Handed,73,180,0.274,348,24,Normal
Jerry White,Both Handed,70,164,0.253,21,24,Normal
Angel Mangual,Right Handed,70,178,0.245,22,26,Overweight
Ken Gerhart,Right Handed,72,190,0.221,24,26,Overweight
Mike Hershberger,Right Handed,70,175,0.252,26,25,Overweight
Jim French,Left Handed,68,180,0.196,5,27,Overweight
Dave Roberts,Left Handed,75,195,0.194,7,24,Normal
Jim Mason,Left Handed,74,185,0.203,12,24,Normal
Willie Smith,Left Handed,72,182,0.248,46,25,Overweight
Jose Arcia,Right Handed,75,170,0.215,1,21,Normal
Leon Durham,Left Handed,73,185,0.277,147,24,Normal
Paul Householder,Both Handed,72,180,0.236,29,24,Normal
Aurelio Rodriguez,Right Handed,70,180,0.237,124,26,Overweight
Jimmy Stewart,Both Handed,72,165,0.237,8,22,Normal
Dick Phillips,Left Handed,72,180,0.229,12,24,Normal
Andres Thomas,Right Handed,73,170,0.234,42,22,Normal
Ed Crosby,Left Handed,74,175,0.22,0,22,Normal
Mike de la Hoz,Right Handed,71,175,0.251,25,24,Normal
Frank Taveras,Right Handed,72,155,0.255,2,21,Normal
Joe Nossek,Right Handed,72,178,0.228,3,24,Normal
Larry Stahl,Left Handed,72,175,0.232,36,24,Normal
Jose Cruz,Left Handed,72,170,0.284,165,23,Normal
Don Mason,Left Handed,71,160,0.205,3,22,Normal
Bill Robinson,Right Handed,74,189,0.258,166,24,Normal
Sal Bando,Right Handed,72,195,0.254,242,26,Overweight
George Mitterwald,Right Handed,74,195,0.236,76,25,Overweight
Craig Robinson,Right Handed,70,165,0.219,0,24,Normal
Bob Tillman,Right Handed,76,205,0.232,79,25,Overweight
Pat Corrales,Right Handed,72,180,0.216,4,24,Normal
Mike Tyson,Right Handed,69,170,0.241,27,25,Overweight
Rafael Landestoy,Both Handed,70,165,0.237,4,24,Normal
Duane Josephson,Right Handed,72,190,0.258,23,26,Overweight
Duane Walker,Left Handed,72,185,0.229,24,25,Overweight
Glenn Hubbard,Right Handed,69,150,0.244,70,22,Normal
Roger Freed,Right Handed,72,190,0.245,22,26,Overweight
George Hendrick,Right Handed,75,195,0.278,267,24,Normal
Rod Carew,Left Handed,72,170,0.328,92,23,Normal
Bob Davis,Right Handed,72,180,0.197,6,24,Normal
Toby Harrah,Right Handed,72,175,0.264,195,24,Normal
Rick Manning,Left Handed,73,180,0.257,56,24,Normal
Gary Matthews,Right Handed,74,185,0.281,234,24,Normal
Cesar Geronimo,Left Handed,72,165,0.258,51,22,Normal
Billy Bryan,Left Handed,76,200,0.216,41,24,Normal
Terry Whitfield,Left Handed,73,197,0.281,33,26,Overweight
Mario Mendoza,Right Handed,71,170,0.215,4,24,Normal
Fred Lynn,Left Handed,73,185,0.283,306,24,Normal
Larry Hisle,Right Handed,74,193,0.273,166,25,Overweight
Graig Nettles,Left Handed,72,180,0.248,390,24,Normal
Dave Engle,Right Handed,75,210,0.262,31,26,Overweight
Mike Easler,Left Handed,72,190,0.293,118,26,Overweight
Rick Sweet,Both Handed,73,200,0.234,6,26,Overweight
Thurman Munson,Right Handed,71,190,0.292,113,26,Overweight
Rick Monday,Left Handed,75,193,0.264,241,24,Normal
Mike Sadek,Right Handed,69,165,0.226,5,24,Normal
Mark Belanger,Right Handed,73,170,0.228,20,22,Normal
Ron Hunt,Right Handed,72,186,0.273,39,25,Overweight
Joe Keough,Left Handed,72,185,0.246,9,25,Overweight
Vic Correll,Right Handed,70,185,0.229,29,27,Overweight
Jackie Hernandez,Right Handed,71,165,0.208,12,23,Normal
Tony Solaita,Left Handed,72,210,0.255,50,28,Overweight
U L Washington,Both Handed,71,175,0.251,27,24,Normal
Joe Foy,Right Handed,72,215,0.248,58,29,Overweight
Ed Goodson,Left Handed,75,180,0.26,30,22,Normal
Mickey Klutts,Right Handed,71,170,0.241,14,24,Normal
Leroy Stanton,Right Handed,73,195,0.244,77,26,Overweight
Danny Ainge,Right Handed,76,175,0.22,2,21,Normal
Adolfo Phillips,Right Handed,73,175,0.247,59,23,Normal
Marv Breeding,Right Handed,72,175,0.25,7,24,Normal
Dick McAuliffe,Left Handed,71,176,0.247,197,25,Overweight
Joe Horlen,Right Handed,72,170,0.134,0,23,Normal
Glenn Burke,Right Handed,72,195,0.237,2,26,Overweight
Terry Humphrey,Right Handed,75,185,0.211,6,23,Normal
Enzo Hernandez,Right Handed,68,155,0.224,2,24,Normal
Cesar Gutierrez,Right Handed,69,155,0.235,0,23,Normal
Coco Laboy,Right Handed,70,165,0.233,28,24,Normal
Ted Kubiak,Both Handed,72,175,0.231,13,24,Normal
Jim Morrison,Right Handed,71,175,0.26,112,24,Normal
Bobby Knoop,Right Handed,73,170,0.236,56,22,Normal
Bobby Brown,Both Handed,74,190,0.245,26,24,Normal
Tom Hutton,Left Handed,71,180,0.248,22,25,Overweight
Ron Hodges,Left Handed,73,185,0.24,19,24,Normal
Rich Chiles,Left Handed,71,170,0.254,6,24,Normal
Tom Paciorek,Right Handed,76,215,0.282,86,26,Overweight
Gary Woods,Right Handed,74,185,0.243,13,24,Normal
Bob Montgomery,Right Handed,73,195,0.258,23,26,Overweight
Jeff Burroughs,Right Handed,73,200,0.261,240,26,Overweight
Rusty Staub,Left Handed,74,190,0.279,292,24,Normal
Jim Norris,Left Handed,70,175,0.264,7,25,Overweight
Oscar Gamble,Left Handed,71,160,0.265,200,22,Normal
George Vukovich,Left Handed,72,198,0.268,27,27,Overweight
Craig Reynolds,Left Handed,73,175,0.256,42,23,Normal
Paul Blair,Right Handed,72,168,0.25,134,23,Normal
Al Cowens,Right Handed,73,197,0.27,108,26,Overweight
Al Oliver,Left Handed,72,195,0.303,219,26,Overweight
Dave Hilton,Right Handed,71,191,0.213,6,27,Overweight
Luis Alvarado,Right Handed,69,162,0.214,5,24,Normal
Larry Parrish,Right Handed,75,190,0.263,256,24,Normal
Woodie Fryman,Right Handed,75,197,0.138,2,25,Overweight
Bob Randall,Right Handed,74,175,0.257,1,22,Normal
Jim Pankovits,Right Handed,70,170,0.25,9,24,Normal
Carmen Fanzone,Right Handed,72,200,0.224,20,27,Overweight
Gary Allenson,Right Handed,71,185,0.221,19,26,Overweight
Milt May,Left Handed,72,190,0.263,77,26,Overweight
Mike Vail,Right Handed,73,180,0.279,34,24,Normal
Nick Esasky,Right Handed,75,200,0.25,122,25,Overweight
Jim Nettles,Left Handed,72,186,0.22,16,25,Overweight
Chris Cannizzaro,Right Handed,72,190,0.235,18,26,Overweight
Larry Biittner,Left Handed,74,205,0.273,29,26,Overweight
Mel Stottlemyre,Right Handed,73,178,0.16,7,23,Normal
Roy Smalley,Both Handed,73,185,0.257,163,24,Normal
Andy Messersmith,Right Handed,73,200,0.17,5,26,Overweight
Richie Zisk,Right Handed,73,200,0.287,207,26,Overweight
Dave Chalk,Right Handed,70,175,0.252,15,25,Overweight
Don Baylor,Right Handed,73,190,0.26,338,25,Overweight
John Vukovich,Right Handed,73,187,0.161,6,25,Overweight
Danny Thompson,Right Handed,72,183,0.248,15,25,Overweight
Joe Simpson,Left Handed,75,175,0.242,9,22,Normal
Bill Fahey,Left Handed,72,200,0.241,7,27,Overweight
Doug Camilli,Right Handed,71,195,0.199,18,27,Overweight
